old,new,old_installs,new_installs,capture,same_publisher,excluded_confound
ZixuanChen.vitest-explorer,vitest.explorer,436290,1153167,264.31,False,False
sswg.swift-lang,swiftlang.swift-vscode,429509,789531,183.82,False,False
ms-dotnettools.vscode-dotnet-modernize,ms-dotnettools.upgrade-agent,402038,124151,30.88,True,False
nobuhito.printcode,pdconsec.vscode-print,373846,723504,193.53,False,False
lehni.vscode-fix-checksums,RimuruChan.vscode-fix-checksums-next,349803,71431,20.42,False,False
usqlextpublisher.usql-vscode-ext,ms-ssdevteam.scope-vscode-ext,311990,51013,16.35,False,False
LuqueDaniel.languague-renpy,renpy.language-renpy,296073,432161,145.96,False,False
slevesque.vscode-autohotkey,mark-wiemer.vscode-autohotkey-plus-plus,276810,438703,158.49,False,False
RedVanWorkshop.explorer-exclude-vscode-extension,PeterSchmalfeldt.explorer-exclude,219077,188991,86.27,False,False
Arcensoth.language-mcfunction,MinecraftCommands.syntax-mcfunction,209439,243809,116.41,False,False
eyhn.vscode-vibrancy,illixion.vscode-vibrancy-continued,190810,516549,270.71,False,False
PeterSchmalfeldt.explorer-exclude,MadCatPX.explorer-exclude-manager,188991,3737,1.98,False,False
cweijan.vscode-myssql-client2,cweijan.vscode-database-client2,180760,1286716,711.84,True,False
GitHub.heygithub,ms-vscode.vscode-speech,177192,1420619,801.74,False,False
spences10.VBA,serkonda7.vscode-vba,173762,219916,126.56,False,False
cweijan.vscode-excel,cweijan.vscode-office,166943,1457756,873.21,True,False
cweijan.vscode-typora,cweijan.vscode-office,148605,1457756,980.96,True,False
kavod-io.vscode-jest-test-adapter,Orta.vscode-jest,144414,3842252,2660.58,False,True
byCedric.vscode-expo,expo.vscode-expo-tools,140720,870373,618.51,False,False
freebroccolo.reasonml,ocamllabs.ocaml-platform,129544,292635,225.9,False,False
sbrink.elm,Elmtooling.elm-ls-vscode,125197,98075,78.34,False,False
DougFinke.vscode-pandoc,ChrisChinchilla.vscode-pandoc,114648,190281,165.97,False,False
jpogran.puppet-vscode,puppet.puppet-vscode,110401,186624,169.04,False,False
prettier.prettier-vscode,esbenp.prettier-vscode,110005,71213599,64736.69,False,True
DevonDCarew.bazel-code,BazelBuild.vscode-bazel,98584,981888,995.99,False,False
365businessdevelopment.bdev-al-xml-doc,ms-dynamics-smb.al,93057,530617,570.21,False,False
msjsdiag.debugger-for-chrome-nightly,ms-vscode.js-debug-nightly,91480,3477109,3800.95,False,True
deitry.unity-debug,visualstudiotoolsforunity.vstuc,89322,2602955,2914.13,False,True
Shopify.rubocop-lsp,Shopify.ruby-lsp,89292,1920264,2150.54,True,False
Iterative.dvc,lakeFS.lakefs-dvc,88784,8819,9.93,False,False
CADENAS.vscode-glsllint,dtoplak.vscode-glsllint,84180,244001,289.86,False,False
Equinusocio.moxer-icons,vira.vsc-vira-theme,83720,484127,578.27,False,False
EugenWiens.bitbake,yocto-project.yocto-bitbake,80027,77290,96.58,False,False
cweijan.epub-reader,cweijan.vscode-office,79209,1457756,1840.39,True,False
SummerSun.vscode-jetty,redhat.vscode-community-server-connector,77812,612897,787.66,False,False
smeagolem.ayu-one-dark-pro,zhuangtongfa.Material-theme,76353,12681316,16608.8,False,True
ironmansoftware.powershell-universal,devolutionsinc.devolutions-powershell-universal,71890,1344,1.87,False,False
quantum.quantum-devkit-vscode,quantum.qsharp-lang-vscode,71057,32980,46.41,True,False
slevesque.perforce,mjcrouch.perforce,70212,160380,228.42,False,False
sanderledegen.angular-follow-selector,Angular.ng-template,69022,9735276,14104.6,False,True
