id,name,repo,downloads,last_commit,commit_months,archived,licence,open_issues,stars
creases,Creases,liamcain/obsidian-creases,44457,2026-05-12,3.7,false,MIT,42,294
obsidian-jira-issue,Jira Issue,obsidian-jira-plugin/obsidian-jira-issue,44359,2026-08-28,0.1,false,AGPL-3.0,3,3
obsidian-local-images,Local images,aleksey-rezvov/obsidian-local-images,44354,2023-04-23,40.3,false,MIT,46,360
tray,Tray,dragonwocky/obsidian-tray,44251,2025-10-19,10.4,false,MIT,45,327
open-in-new-tab,Open In New Tab,patleeman/obsidian-open-in-new-tab,44006,2023-04-15,40.6,false,MIT,12,133
obsidian-plugin-groups,Plugin Groups,mocca101/obsidian-plugin-groups,43734,2024-10-23,22.3,false,MIT,21,157
print,Print,marijnbent/obsidian-print,43557,2026-08-29,0.1,false,MIT,1,103
slides-extended,Slides Extended,ebullient/obsidian-slides-extended,43494,2026-08-31,0.0,false,MIT,15,271
hide-folders,Hide Folders,jonasdoesthings/obsidian-hide-folders,42681,2026-06-02,3.0,false,MIT,6,72
map-of-content,Map of Content,robin-haupt-1/Obsidian-Map-of-Content,42670,2023-09-23,35.3,false,GPL-3.0,63,181
simple-time-tracker,Super Simple Time Tracker,ellpeck/ObsidianSimpleTimeTracker,42648,2026-08-07,0.8,false,MIT,29,198
daily-notes-editor,Daily Notes Editor,quorafind/Obsidian-Daily-Notes-Editor,42174,2025-04-05,16.9,false,NONE,14,277
fileorganizer2000,Note Companion,nexus-jpf/note-companion,42154,2026-08-31,0.0,false,MIT,1,859
obsidian-task-collector,Task Collector,ebullient/obsidian-task-collector,41867,2026-08-31,0.0,false,MIT,6,241
obsidian-better-command-palette,Better Command Palette,alexbieg/obsidian-better-command-palette,41781,2023-11-29,33.1,false,MIT,47,184
featured-image,Featured Image,johansan/obsidian-featured-image,41517,2026-07-13,1.6,false,MIT,0,121
ai-image-analyzer,AI image analyzer,swaggeroo/obsidian-ai-image-analyzer,41375,2026-08-31,0.0,false,GPL-3.0,16,178
karpathywiki,Karpathy LLM Wiki,green-dalii/obsidian-llm-wiki,41351,2026-08-31,0.0,false,Apache-2.0,32,548
spreadsheets,Spreadsheets,divamgupta/obsidian-spreadsheets,41319,2024-02-24,30.2,false,MIT,28,185
copy-document-as-html,Copy document as HTML,mvdkwast/obsidian-copy-as-html,41062,2026-02-02,6.9,false,MIT,17,81
find-orphaned-images,Find Orphaned Images,josmarcristello/Obsidian-Find-Orphaned-Images,40846,2026-07-15,1.6,false,GPL-3.0,1,21
epub-importer,Epub Importer,aoout/obsidian-epub-importer,40521,2026-07-23,1.3,false,MIT,8,243
auto-template-trigger,Auto Template Trigger,numeroflip/obsidian-auto-template-trigger,40514,2025-07-28,13.1,false,MIT,7,66
task-list-kanban,Task List Kanban,erikars/task-list-kanban,40475,2026-07-25,1.2,false,MIT,22,107
theme-picker,Theme Picker,trey-sedate/obsidian-theme-picker,40349,2022-10-15,46.6,false,MIT,4,43
mehrmaid,Mehrmaid,huterguier/obsidian-mehrmaid,40260,2025-10-12,10.6,false,MIT,13,64
smart-chatgpt,Smart Chat,brianpetro/smart-chatgpt-obsidian,40221,2026-08-05,0.9,false,NOASSERTION,7,30
note-gallery,Note Gallery,pashashocky/obsidian-note-gallery,40116,2024-11-24,21.2,false,GPL-3.0,34,250
2hop-links-plus,2Hop Links Plus,l7cy/obsidian-2hop-links-plus,40093,2024-07-14,25.6,false,NOASSERTION,20,88
obsidian-rewarder,Rewarder,gnopps/obsidian-rewarder,39669,2023-12-25,32.2,false,GPL-3.0,6,56
mysnippets-plugin,MySnippets,chetachiezikeuzor/MySnippets-Plugin,39579,2024-04-24,28.3,false,MPL-2.0,20,193
feed-bases,Feed Bases,edrickleong/obsidian-feed-bases,39386,2026-04-09,4.8,false,MIT,13,184
obsidian-heading-shifter,Heading Shifter,k4a-l/obsidian-heading-shifter,39314,2026-08-26,0.2,false,MIT,0,110
operon,Operon,hasanyilmaz/operon,39231,2026-08-31,0.0,false,GPL-3.0,10,192
full-calendar-remastered,Full Calendar Remastered,obsidian-full-calendar-remastered/plugin-full-calendar,39218,2026-08-29,0.1,false,GPL-3.0,25,163
life-tracker,Life Tracker,dsebastien/obsidian-life-tracker-base-view,39063,2026-08-31,0.0,false,MIT,20,240
obsidian-image-gallery,Image Gallery,lucaorio/obsidian-image-gallery,38941,2023-06-06,38.9,false,MIT,31,271
mrj-text-expand,Text expand,mrjackphil/obsidian-text-expand,38907,2025-04-04,16.9,false,NONE,27,194
tabs,Markdown Tabs,xhuajin/obsidian-tabs,38582,2026-07-17,1.5,false,MIT,47,188
lapel,Lapel,liamcain/obsidian-lapel,38387,2026-05-12,3.7,false,MIT,11,147
obsidian-autocomplete-plugin,Autocomplete,yeboster/autocomplete-obsidian,38314,2023-05-14,39.6,false,MIT,24,149
gpt3-notes,GPT-3 Notes,micahke/obsidian-gpt3-notes,38142,2023-11-10,33.7,false,MIT,6,169
dynamic-outline,Dynamic Outline,theopavlove/obsidian-dynamic-outline,38079,2025-11-16,9.5,false,MIT,18,101
image-window,Second Window,javalent/second-window,38057,2024-08-30,24.0,false,MIT,6,43
unitade,UNITADE.md,falcion/UNITADE.md,37979,2026-08-14,0.6,false,MIT,14,150
color-folders-files,Color Folders and Files,mithadon/obsidian-color-folders-files,37931,2024-12-12,20.6,false,MIT,7,48
obsidian-show-file-path,Show Current File Path,ravimashru/obsidian-show-file-path,37919,2021-10-13,58.6,false,NONE,4,53
voice,Voice,chrisurf/obsidian-voice,37599,2026-08-20,0.4,false,MIT,8,81
