id,name,pub,installs,rating,ratings,updated,months,repo_full,gh_pushed,commit_months,archived,licence,open_issues,stars
josee9988.minifyall,MinifyAll,Jose Gracia Berenguer,195205,4.57,35,2021-10-21,58.3,Josee9988/MinifyAll,2025-01-16,19.5,False,GPL-3.0,52,81
developersoapbox.vscode-springboot-snippets,Spring Boot Snippets,Developer Soapbox,195120,5.0,3,2020-12-11,68.7,DeveloperSoapbox/vscode-springboot-snippets,2020-12-11,68.7,False,NONE,1,9
Yummygum.city-lights-icon-vsc,City Lights Icon package,Yummygum,194884,5.0,4,2018-10-08,94.8,Yummygum/city-lights-icons-vsc,2022-12-09,44.7,False,NONE,17,47
seatonjiang.gitmoji-vscode,Gitmoji,Seaton Jiang,194543,5.0,14,2026-03-06,5.9,,,,,,,
fredericbonnet.cmake-test-adapter,CMake Test Explorer,Frédéric Bonnet,194138,4.67,3,2025-09-09,11.7,,,,,,,
genuitecllc.codetogether,CodeTogether Cloud,Genuitec,194113,4.3,10,2025-10-07,10.8,,,,,,,
howardzuo.vscode-npm-dependency,Npm Dependency,Howard.Zuo,193921,5.0,6,2018-12-12,92.6,leftstick/vscode-npm-dependency,2020-03-18,77.5,False,GPL-3.0,5,11
salesforce.salesforcedx-vscode-org-browser,Salesforce Org Browser,Salesforce,193555,4.0,1,2026-08-26,0.2,,,,,,,
martonsagi.al-object-designer,AL Object Designer,Márton Sági,193376,4.59,22,2020-10-05,70.9,martonsagi/al-object-designer,2020-10-05,70.9,False,MIT,45,45
marqu3s.aurora-x,Aurora X,marqu3s,193225,4.25,4,2020-08-24,72.2,marqu3s10/Aurora-X,2025-05-22,15.3,False,GPL-3.0,6,21
brittanychiang.halcyon-vscode,Halcyon Theme,brittanychiang,193224,4.77,30,2026-04-01,5.0,,,,,,,
RubenVerg.bootstrap-product-icons,Bootstrap Product Icons,RubenVerg,192921,4.71,7,2021-02-23,66.2,RubenVerg/bootstrap-product-icons,2021-02-23,66.2,False,NOASSERTION,3,1
nils-ballmann.python-coding-tools,Python Coding Tools,Nils Ballmann,192751,4.0,1,2026-02-18,6.4,,,,,,,
HarryHopkinson.vim-theme,Vim Theme,HarryHopkinson,192651,5.0,8,2024-09-20,23.4,Harry-Hopkinson/vim-vscode-theme,2024-09-20,23.4,False,MIT,0,33
dhruv.maven-dependency-explorer,Maven dependency explorer,Dhruvkumar Shah,192595,3.2,5,2023-04-29,40.1,Dhruvkumarshah/maven-dependency-explorer,2023-04-29,40.1,False,MIT,6,5
ParallelsDesktop.parallels-desktop,Parallels Desktop,Parallels Desktop,192407,5.0,1,2026-01-08,7.8,,,,,,,
lintangwisesa.arduino,Arduino,lintangwisesa,192404,5.0,3,2019-05-24,87.3,LintangWisesa/VScode-Arduino-Theme,2019-05-24,87.3,False,NONE,1,7
andischerer.theme-atom-one-dark,Atom One Dark Syntax Theme,Andreas Scherer,192132,4.47,15,2016-03-15,125.6,andischerer/vscode-theme-atom-one-dark,2016-06-09,122.7,False,MIT,1,10
tsholic.react-typescript,React js,tsholic,191711,5.0,1,2024-12-01,21.0,eunho0516/react_js_extension_pack,2024-11-14,21.6,False,MIT,0,0
TheQtCompany.qt-ui,Qt UI (Deprecated),Qt Group,191554,1.0,1,2026-08-28,0.1,,,,,,,
metaseed.MetaJump,MetaJump,metaseed,191219,5.0,3,2026-05-30,3.1,,,,,,,
will-wow.vscode-alternate-file,Alternate File,will-wow,191152,4.8,5,2019-03-18,89.5,alternate-file/vscode-alternate-file,2023-03-23,41.3,False,MIT,15,33
SAPOSS.app-studio-remote-access,Remote Access for SAP Business Application Studio,SAP OSS,190951,5.0,1,2026-07-27,1.2,,,,,,,
eyhn.vscode-vibrancy,Vibrancy,eyhn,190808,3.16,61,2022-08-23,48.3,EYHN/vscode-vibrancy,2022-08-23,48.3,True,MIT,53,558
Box-Of-Hats.bemhelper,BEM Helper,Box-Of-Hats,190750,5.0,4,2025-05-24,15.3,,,,,,,
streetsidesoftware.code-spell-checker-french,French - Code Spell Checker,Street Side Software,190659,5.0,3,2025-07-20,13.4,,,,,,,
dineug.vuerd-vscode,ERD Editor,dineug,190571,4.84,37,2026-08-29,0.1,,,,,,,
RoyAction.color-manager,Color Manager,Roy Action,190552,4.76,33,2022-05-31,51.1,royaction/vscode-colormanager,2023-05-09,39.8,False,NONE,1,35
hiteshchoudharycode.chai-theme,chai theme,hitesh choudhary,190549,4.96,115,2023-12-08,32.8,hiteshchoudhary/vscode-theme,2023-12-08,32.8,False,NONE,7,167
erikphansen.vscode-toggle-column-selection,Toggle Column Selection,Erik P. Hansen,190443,5.0,5,2019-07-21,85.4,erikphansen/vscode-toggle-column-selection,2019-07-21,85.4,False,NONE,1,4
salesforce.agent-script-language-client,Agent Script,Salesforce,190410,0,0,2026-08-20,0.4,,,,,,,
helixquar.randomeverything,Random Everything,helixquar,190219,4.86,7,2016-12-30,116.0,helixquar/randomeverything,2023-03-06,41.9,False,GPL-3.0,12,21
VisualStudioExptTeam.vscodeintellicode-insiders,IntelliCode Insiders,Microsoft,190210,5.0,3,2022-06-30,50.1,MicrosoftDocs/intellicode,2025-11-12,9.6,True,CC-BY-4.0,161,841
ChrisChinchilla.vscode-pandoc,vscode-pandoc,Chris Chinchilla,190203,4.57,7,2026-08-26,0.2,,,,,,,
XuangeAha.vsmarketplace-badges,VSMarketplace Badges,KamaoKat,189147,5.0,2,2026-01-11,7.7,,,,,,,
uni-helper.uni-app-schemas-vscode,uni-app-schemas,Uni Helper,189111,0,0,2026-06-24,2.3,,,,,,,
albymor.increment-selection,Increment Selection,Alberto Morato,189003,5.0,35,2019-12-16,80.5,albymor/Increment-Selection,2022-01-19,55.4,False,MIT,8,31
eclipse-cdt.peripheral-inspector,Peripheral Inspector,Eclipse CDT Cloud,189000,0,0,2026-06-24,2.3,,,,,,,
PeterSchmalfeldt.explorer-exclude,Explorer Exclude,Peter Schmalfeldt,188982,3.5,10,2022-08-21,48.4,sfccdevops/explorer-exclude-vscode-extension,2026-07-27,1.2,False,MIT,15,46
eiminsasete.apacheconf-snippets,Apache Conf Snippets,hrdtbs,188974,5.0,5,2024-07-21,25.4,hrdtbs/vscode-apacheconf-snippets,2024-07-21,25.4,False,MIT,1,8
GokturkSM.nebula-pandas,Nebula Pandas,GokturkSM,188956,5.0,2,2022-12-25,44.2,gokturksm/Fikirler,2022-12-25,44.2,False,NONE,0,0
ms-dotnettools.blazorwasm-companion,Microsoft.AspNetCore.Razor.VSCode.BlazorWasmDebuggingExtension,Microsoft,188825,5.0,5,2023-02-06,42.8,dotnet/razor,2026-08-31,0.0,False,NONE,376,710
chrisdias.vscode-opennewinstance,Open Folder Context Menus for VS Code,Chris Dias,188668,5.0,19,2024-05-17,27.5,,,,,,,
ankitcode.firefly,FireFly Pro,Ankit Mishra,188593,4.95,20,2021-06-22,62.3,ankitmlive/firefly-theme,2025-08-08,12.8,False,Apache-2.0,3,44
MicroProfile-Community.mp-rest-client-generator-vscode-ext,Generator for MicroProfile Rest Client,MicroProfile Community,188352,0,0,2024-05-16,27.5,MicroShed/mp-rest-client-generator-vscode-ext,2024-06-16,26.5,False,EPL-2.0,5,5
SAPOSS.vscode-ui5-language-assistant,UI5 Language Assistant,SAP OSS,188311,5.0,8,2026-08-21,0.4,,,,,,,
ryuta46.multi-command,multi-command,ryuta46,188183,4.92,48,2022-07-11,49.7,ryuta46/vscode-multi-command,2023-03-12,41.7,False,MIT,17,265
codestackr.codestackr-theme,codeSTACKr Theme,codestackr,188099,5.0,24,2022-07-17,49.5,codestackr/codestackr-vscode-theme,2022-07-17,49.5,False,MIT,10,35
Heron.firefox-devtools-theme,Firefox Theme,Heron Silva,187955,5.0,13,2025-04-15,16.6,,,,,,,
tushortz.java-imports-snippets,Java Imports Snippets,Taiwo Kareem,187948,4.38,8,2016-02-24,126.2,tushortz/vscode-Wildlife-Theme,2016-02-24,126.2,False,MIT,0,0
74th.monokai-charcoal-high-contrast,Monokai Charcoal high contrast,74th,187894,4.77,22,2025-08-02,13.0,,,,,,,
aooiu.z-reader,z-reader,aooiu,187851,4.5,16,2024-03-28,29.1,aooiuu/z-reader,2024-09-29,23.1,True,NONE,16,383
eamodio.gitlens-insiders,GitLens (Insiders),GitKraken,187725,1.75,4,2023-03-11,41.7,gitkraken/vscode-gitlens,2026-09-01,0.0,False,NOASSERTION,972,9913
Ranch-Hand-Robotics.rde-ros-2,Robot Developer Extensions for ROS 2,Ranch Hand Robotics LLC,187067,4.0,1,2026-01-04,7.9,,,,,,,
pixl-garden.BongoCat,Bongo Cat,pixl garden,187057,4.95,21,2023-07-26,37.2,kitgore/BongoCat,2024-04-16,28.5,False,MIT,6,67
cengage.cengage-companion,Cengage MindTap Companion,Cengage,187036,1.08,38,2026-07-31,1.1,,,,,,,
kangping.protobuf,protobuf,kangping,186951,3.0,2,2019-03-28,89.2,,,,,,,
ms-azuretools.vscode-logicapps,Azure Logic Apps (Consumption),Microsoft,186624,3.2,5,2023-07-17,37.5,microsoft/vscode-azurelogicapps,2023-07-18,37.5,True,MIT,7,44
puppet.puppet-vscode,Puppet,puppet,186611,4.4,5,2026-06-03,3.0,,,,,,,
dionmunk.vscode-notes,Notes,Dion Munk,186578,4.44,25,2025-03-26,17.2,,,,,,,
vscode-arduino.vscode-arduino-community,Arduino Community Edition,vscode-arduino,186565,4.0,8,2024-09-10,23.7,vscode-arduino/vscode-arduino,2026-08-29,0.1,False,NOASSERTION,47,233
graykode.ai-docstring,AI Python Docstring Generator,Tae Hwan Jung,186361,3.29,7,2020-11-19,69.4,graykode/ai-docstring,2020-11-21,69.3,False,NOASSERTION,12,315
robert-brunhage.flutter-riverpod-snippets,Flutter Riverpod Snippets,Robert Brunhage,185888,5.0,7,2025-09-28,11.1,,,,,,,
pepri.subtitles-editor,Subtitles Editor,Peter Prikryl,185812,5.0,19,2022-06-16,50.5,pepri/subtitles-editor,2023-06-06,38.9,False,NONE,12,60
dbankier.vscode-quick-select,Quick and Simple Text Selection,David Bankier,185808,4.67,51,2020-09-02,71.9,dbankier/vscode-quick-select,2020-09-02,71.9,False,NONE,20,133
Ollama.ollama,Ollama,Ollama,185774,3.6,5,2026-08-11,0.7,,,,,,,
EFanZh.graphviz-preview,Graphviz Preview,EFanZh,185617,5.0,4,2025-03-08,17.8,,,,,,,
Arm.environment-manager,Arm Tools Environment Manager,Arm,185518,0,0,2026-03-13,5.7,,,,,,,
zhouronghui.propertylist,PropertyList,zhouronghui,185329,3.0,5,2018-05-12,99.7,,,,,,,
SamRC.night-pink,Night Pink,SamRC,185237,5.0,2,2021-07-23,61.3,samRC/night-pink,2026-07-04,1.9,False,MIT,0,3
mrmlnc.vscode-pugbeautify,Pug beautify,mrmlnc,185186,5.0,1,2016-09-22,119.3,mrmlnc/vscode-pugbeautify,2017-05-04,111.9,False,MIT,6,5
well-ar.plantuml,PlantUML - Simple Viewer,well-ar,185034,5.0,4,2022-12-31,44.0,well-ar/vscode-plantuml,2022-12-31,44.0,False,MIT,1,6
CodeRabbit.coderabbit-vscode,CodeRabbit,CodeRabbit Inc.,184904,3.68,28,2026-08-28,0.1,,,,,,,
adriano-markovic.c-cpp-makefile-project,C/C++ Makefile Project,Adriano Markovic,184902,3.56,9,2019-09-04,83.9,,,,,,,
rsbondi.highlight-words,highlight-words,Richard Bondi,184874,4.71,21,2019-07-31,85.1,rsbondi/highlight-words,2022-12-08,44.8,False,MIT,18,72
qiaojie.binary-viewer,Binary Viewer,Qiao Jie,184638,3.6,10,2020-05-10,75.7,qiaojie/BinaryViewer,2023-04-03,41.0,False,MIT,5,10
aaronthomas.vscode-snazzy-operator,Snazzy Operator,Aaron Thomas,184529,4.5,4,2017-05-13,111.6,aaronthomas/vscode-snazzy-operator,2019-09-11,83.7,False,MIT,4,36
anyscalecompute.anyscale-workspaces,Workspaces,anyscalecompute,184495,1.0,6,2026-07-27,1.2,,,,,,,
craigthomas.supersharp,Super Sharp (C# extensions),craigthomas,184471,2.33,3,2017-12-05,104.9,,,,,,,
pverest.java-ide-pack,Java IDE Pack,Paul Verest,184418,3.67,3,2018-10-12,94.6,paulvi/vscode-java-ide-pack,2018-10-12,94.6,False,NONE,2,12
iliazeus.vscode-ansi,ANSI Colors,Ilia Pozdnyakov,184407,4.85,13,2024-02-05,30.8,iliazeus/vscode-ansi,2025-08-12,12.6,False,MIT,5,71
doggy8088.netcore-editorconfiggenerator,.NET Core EditorConfig Generator,Will 保哥,184356,5.0,2,2023-08-05,36.9,doggy8088/netcore-editorconfiggenerator,2023-08-05,36.9,False,MIT,0,0
ajshort.msg,Msg Language Support,ajshort,184321,3.0,2,2016-09-27,119.1,,,,,,,
george3447.docker-run,Docker Run,Georgekutty Antony,183916,5.0,6,2021-04-25,64.2,george3447/docker-run,2023-03-05,41.9,False,MIT,9,17
vector-of-bool.gitflow,gitflow,vector-of-bool,183902,4.5,14,2018-04-22,100.3,vector-of-bool/vscode-gitflow,2023-01-11,43.7,False,NONE,26,91
MicroProfile-Community.vscode-microprofile-pack,Extension Pack for MicroProfile,MicroProfile Community,183839,0,0,2022-01-04,55.9,MicroShed/vscode-microprofile-pack,2023-04-25,40.2,False,Apache-2.0,4,5
vayan.haml,Ruby Haml,vayan,183830,5.0,2,2017-03-02,114.0,vayan/vscode-haml-ruby,2017-03-02,114.0,False,MIT,2,9
hsnazar.hyper-term-theme,Hyper Term Theme,HasseNasse,183794,4.88,17,2019-03-19,89.5,,,,,,,
johnpapa.Angular1,Angular 1 JavaScript and TypeScript Snippets,John Papa,183747,3.89,19,2019-05-05,87.9,johnpapa/vscode-angular1-snippets,2019-05-05,87.9,False,MIT,0,41
heaths.vscode-guid,Insert GUID,Heath Stewart,183723,4.9,20,2024-02-09,30.7,heaths/vscode-guid,2024-09-05,23.9,False,MIT,4,28
zitup.classnametocss,className Completion in CSS,zitup,183660,4.67,3,2023-03-09,41.8,zytjs/classNameToCss,2024-03-27,29.2,False,MIT,3,23
tintinweb.vscode-inline-bookmarks,Inline Bookmarks,tintinweb,183028,4.79,14,2022-10-10,46.7,tintinweb/vscode-inline-bookmarks,2024-06-30,26.1,False,GPL-3.0,27,50
afmicc.GetterAndSetterGenerator,Getter and Setter Generator,Agustin Martinez Ibarra,182869,3.75,12,2020-01-21,79.3,afmicc/getter-setter-generator,2022-08-29,48.1,True,MIT,4,11
ashinzekene.nestjs,Vscode NestJs Snippets,ashinzekene,182151,5.0,3,2020-08-11,72.7,ashinzekene/vscode-nestsjs-snippets,2020-08-11,72.7,False,MIT,0,112
Darfka.vbscript,VBScript,Darfka,182145,5.0,3,2017-09-27,107.1,,,,,,,
ms-vscode.vscode-websearchforcopilot,Web Search for Copilot,Microsoft,182046,2.62,8,2026-08-27,0.2,,,,,,,
hassanoof.theme,theme,hassanoof,182045,3.33,3,2021-04-21,64.4,,,,,,,
danields761.dracula-theme-from-intellij-pythoned,Darcula 2.0 Python Adapted,Daniel Daniels,181834,4.5,4,2017-10-28,106.1,danields761/vs-code-darcula20-theme,2018-06-21,98.4,False,NONE,0,2
phoityne.phoityne-vscode,Haskell GHCi Debug Adapter Phoityne,phoityne,181693,5.0,6,2025-06-15,14.6,,,,,,,
MateoCERQUETELLA.xcode-12-theme,Xcode Theme,Mateo Cerquetella,181591,4.67,18,2026-05-12,3.7,,,,,,,
pkosta2006.rxjs-snippets,rxjs-snippets,prashant,181570,5.0,1,2017-01-14,115.5,prashantkoshta/rxjs-snippets-vscode,2017-01-28,115.1,False,MIT,1,1
geeebe.duplicate,Duplicate selection or line,Greg Bacchus,181561,5.0,22,2021-09-22,59.3,gregbacchus/vscode-duplicate,2025-04-07,16.8,False,NONE,3,5
jumpinjackie.vscode-map-preview,VSCode Map Preview,Jackie Ng,181456,4.56,16,2024-10-17,22.5,jumpinjackie/vscode-map-preview,2026-02-27,6.1,False,MIT,10,91
bhshawon.node-json-autocomplete,Node JSON Autocomplete,Muhammad Shawon,181320,5.0,2,2018-04-20,100.4,bhshawon/node-json-autocomplete,2018-12-02,93.0,False,MIT,3,5
MarufHassan.flutter-snippets,Flutter Snippets,Maruf Hassan,181221,5.0,3,2024-12-02,21.0,zyllus17/flutter-snippets,2024-12-02,21.0,False,MIT,2,8
swellaby.vscode-rust-test-adapter,Rust Test Explorer,Swellaby,181032,3.44,9,2019-12-24,80.3,swellaby/vscode-rust-test-adapter,2023-11-29,33.1,False,MIT,59,60
Porifa.laravel-intelephense,Laravel Intelephense,Porifa,180883,5.0,6,2023-12-25,32.2,porifa/vscode-laraphense,2024-02-20,30.4,False,MIT,17,2
cweijan.vscode-myssql-client2,SQL Server Client (mssql),Database Client,180762,4.0,6,2025-11-26,9.2,,,,,,,
pixl.unity-toolbox,Unity Toolbox,maxsroka,180699,5.0,6,2025-03-23,17.3,,,,,,,
openhab.openhab,openHAB,openHAB,180535,4.71,14,2021-04-12,64.7,openhab/openhab-vscode,2026-07-28,1.1,False,EPL-2.0,51,153
andrew-codes.cypress-snippets,Cypress Snippets,Andrew Smith,179346,5.0,2,2018-07-23,97.3,andrew-codes/vscode-snippets,2021-12-10,56.7,False,NONE,2,2
jeremyrajan.react-component,React Component,Jeremy Rajan,179308,3.0,2,2022-08-26,48.2,jeremyrajan/vscode-exts,2026-02-17,6.4,False,MIT,32,36
